method,method_kind,case_id,category,fake_record_name,synthetic_input,expected_error_label,actual_error_label,expected_success,actual_success,expected_diagnostic_present,actual_diagnostic_present,expected_line,actual_line,expected_column,actual_column,expected_cleanup_runs,actual_cleanup_runs,expected_errdefer_runs,actual_errdefer_runs,expected_defer_runs,actual_defer_runs,expected_catch_runs,actual_catch_runs,expected_zig_status,actual_zig_status,error_union_observation,diagnostic_observation,errdefer_observation,testing_observation,json_zon_observation,zig_harness_matched,error_union_matched,diagnostic_matched,errdefer_matched,testing_matched,json_zon_observed,debugger_not_run,version_compatibility,production_diagnostics_tested,naive_should_fail,pass,fail_reason,output_bytes,elapsed_ms
zig_compiler_discovery_checker,compiler_discovery,c03_try_propagation,try_propagation_marker,fake_try_case,demo_token_try,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,14,0.0
zig_harness_compile_checker,harness_compile,c03_try_propagation,try_propagation_marker,fake_try_case,demo_token_try,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,14,0.0
error_union_observer,error_union,c03_try_propagation,try_propagation_marker,fake_try_case,demo_token_try,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,14,0.0
wrapper_policy_marker,wrapper,c03_try_propagation,try_propagation_marker,fake_try_case,demo_token_try,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,14,0.0
copy_size_timing_marker,timing,c03_try_propagation,try_propagation_marker,fake_try_case,demo_token_try,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,14,0.0
naive_error_policy_marker,naive,c03_try_propagation,try_propagation_marker,fake_try_case,demo_token_try,ToyError,ToyError,False,True,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,14,0.0
external_error_model_truth_not_tested_marker,external,c03_try_propagation,try_propagation_marker,fake_try_case,demo_token_try,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,error,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,14,0.0
preserve_original_case_baseline,baseline,c04_catch_recovery,catch_recovery_marker,fake_catch_case,demo_token_catch,ToyError,ToyError,True,True,False,False,0,0,0,0,False,False,False,False,True,True,True,True,success,success,recovered,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,16,0.0
zig_compiler_discovery_checker,compiler_discovery,c04_catch_recovery,catch_recovery_marker,fake_catch_case,demo_token_catch,ToyError,ToyError,True,True,False,False,0,0,0,0,False,False,False,False,True,True,True,True,success,success,recovered,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,16,0.0
zig_harness_compile_checker,harness_compile,c04_catch_recovery,catch_recovery_marker,fake_catch_case,demo_token_catch,ToyError,ToyError,True,True,False,False,0,0,0,0,False,False,False,False,True,True,True,True,success,success,recovered,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,16,0.0
error_union_observer,error_union,c04_catch_recovery,catch_recovery_marker,fake_catch_case,demo_token_catch,ToyError,ToyError,True,True,False,False,0,0,0,0,False,False,False,False,True,True,True,True,success,success,recovered,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,16,0.0
wrapper_policy_marker,wrapper,c04_catch_recovery,catch_recovery_marker,fake_catch_case,demo_token_catch,ToyError,ToyError,True,True,False,False,0,0,0,0,False,False,False,False,True,True,True,True,success,success,recovered,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,16,0.0
copy_size_timing_marker,timing,c04_catch_recovery,catch_recovery_marker,fake_catch_case,demo_token_catch,ToyError,ToyError,True,True,False,False,0,0,0,0,False,False,False,False,True,True,True,True,success,success,recovered,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,16,0.0
naive_error_policy_marker,naive,c04_catch_recovery,catch_recovery_marker,fake_catch_case,demo_token_catch,ToyError,ToyError,True,True,False,False,0,0,0,0,False,False,False,False,True,True,True,True,success,success,recovered,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,16,0.0
external_error_model_truth_not_tested_marker,external,c04_catch_recovery,catch_recovery_marker,fake_catch_case,demo_token_catch,ToyError,ToyError,True,True,False,False,0,0,0,0,False,False,False,False,True,True,True,True,success,success,recovered,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,16,0.0
preserve_original_case_baseline,baseline,c05_errdefer_runs_on_error,errdefer_runs_on_error_marker,fake_errdefer_error,synthetic_failure_errdefer,ToyError,ToyError,False,False,False,False,0,0,0,0,True,True,True,True,True,True,False,False,error,error,success,none,ran,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,26,0.0
zig_compiler_discovery_checker,compiler_discovery,c05_errdefer_runs_on_error,errdefer_runs_on_error_marker,fake_errdefer_error,synthetic_failure_errdefer,ToyError,ToyError,False,False,False,False,0,0,0,0,True,True,True,True,True,True,False,False,error,error,success,none,ran,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,26,0.0
zig_harness_compile_checker,harness_compile,c05_errdefer_runs_on_error,errdefer_runs_on_error_marker,fake_errdefer_error,synthetic_failure_errdefer,ToyError,ToyError,False,False,False,False,0,0,0,0,True,True,True,True,True,True,False,False,error,error,success,none,ran,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,26,0.0
error_union_observer,error_union,c05_errdefer_runs_on_error,errdefer_runs_on_error_marker,fake_errdefer_error,synthetic_failure_errdefer,ToyError,ToyError,False,False,False,False,0,0,0,0,True,True,True,True,True,True,False,False,error,error,success,none,ran,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,26,0.0
errdefer_observer,errdefer,c05_errdefer_runs_on_error,errdefer_runs_on_error_marker,fake_errdefer_error,synthetic_failure_errdefer,ToyError,ToyError,False,False,False,False,0,0,0,0,True,True,True,True,True,True,False,False,error,error,success,none,ran,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,26,0.0
wrapper_policy_marker,wrapper,c05_errdefer_runs_on_error,errdefer_runs_on_error_marker,fake_errdefer_error,synthetic_failure_errdefer,ToyError,ToyError,False,False,False,False,0,0,0,0,True,True,True,True,True,True,False,False,error,error,success,none,ran,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,26,0.0
copy_size_timing_marker,timing,c05_errdefer_runs_on_error,errdefer_runs_on_error_marker,fake_errdefer_error,synthetic_failure_errdefer,ToyError,ToyError,False,False,False,False,0,0,0,0,True,True,True,True,True,True,False,False,error,error,success,none,ran,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,26,0.0
naive_error_policy_marker,naive,c05_errdefer_runs_on_error,errdefer_runs_on_error_marker,fake_errdefer_error,synthetic_failure_errdefer,ToyError,ToyError,False,True,False,False,0,0,0,0,True,True,True,True,True,True,False,False,error,error,success,none,ran,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,26,0.0
external_error_model_truth_not_tested_marker,external,c05_errdefer_runs_on_error,errdefer_runs_on_error_marker,fake_errdefer_error,synthetic_failure_errdefer,ToyError,ToyError,False,False,False,False,0,0,0,0,True,True,True,True,True,True,False,False,error,error,success,none,ran,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,26,0.0
preserve_original_case_baseline,baseline,c06_errdefer_not_run_on_success,errdefer_not_run_on_success_marker,fake_errdefer_ok,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
zig_compiler_discovery_checker,compiler_discovery,c06_errdefer_not_run_on_success,errdefer_not_run_on_success_marker,fake_errdefer_ok,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
zig_harness_compile_checker,harness_compile,c06_errdefer_not_run_on_success,errdefer_not_run_on_success_marker,fake_errdefer_ok,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
error_union_observer,error_union,c06_errdefer_not_run_on_success,errdefer_not_run_on_success_marker,fake_errdefer_ok,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
errdefer_observer,errdefer,c06_errdefer_not_run_on_success,errdefer_not_run_on_success_marker,fake_errdefer_ok,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
wrapper_policy_marker,wrapper,c06_errdefer_not_run_on_success,errdefer_not_run_on_success_marker,fake_errdefer_ok,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
copy_size_timing_marker,timing,c06_errdefer_not_run_on_success,errdefer_not_run_on_success_marker,fake_errdefer_ok,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
naive_error_policy_marker,naive,c06_errdefer_not_run_on_success,errdefer_not_run_on_success_marker,fake_errdefer_ok,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
external_error_model_truth_not_tested_marker,external,c06_errdefer_not_run_on_success,errdefer_not_run_on_success_marker,fake_errdefer_ok,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
preserve_original_case_baseline,baseline,c07_defer_runs_success_and_error,defer_runs_on_success_and_error_marker,fake_defer_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
zig_compiler_discovery_checker,compiler_discovery,c07_defer_runs_success_and_error,defer_runs_on_success_and_error_marker,fake_defer_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
zig_harness_compile_checker,harness_compile,c07_defer_runs_success_and_error,defer_runs_on_success_and_error_marker,fake_defer_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
error_union_observer,error_union,c07_defer_runs_success_and_error,defer_runs_on_success_and_error_marker,fake_defer_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
errdefer_observer,errdefer,c07_defer_runs_success_and_error,defer_runs_on_success_and_error_marker,fake_defer_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
wrapper_policy_marker,wrapper,c07_defer_runs_success_and_error,defer_runs_on_success_and_error_marker,fake_defer_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
copy_size_timing_marker,timing,c07_defer_runs_success_and_error,defer_runs_on_success_and_error_marker,fake_defer_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
naive_error_policy_marker,naive,c07_defer_runs_success_and_error,defer_runs_on_success_and_error_marker,fake_defer_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
external_error_model_truth_not_tested_marker,external,c07_defer_runs_success_and_error,defer_runs_on_success_and_error_marker,fake_defer_case,synthetic_parse_case_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,23,0.0
preserve_original_case_baseline,baseline,c08_testing_expect_success,testing_expect_success_marker,fake_test_case_pass,fictional_config_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,19,0.0
zig_compiler_discovery_checker,compiler_discovery,c08_testing_expect_success,testing_expect_success_marker,fake_test_case_pass,fictional_config_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,19,0.0
zig_harness_compile_checker,harness_compile,c08_testing_expect_success,testing_expect_success_marker,fake_test_case_pass,fictional_config_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,19,0.0
error_union_observer,error_union,c08_testing_expect_success,testing_expect_success_marker,fake_test_case_pass,fictional_config_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,19,0.0
testing_debug_context_marker,testing,c08_testing_expect_success,testing_expect_success_marker,fake_test_case_pass,fictional_config_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,19,0.0
wrapper_policy_marker,wrapper,c08_testing_expect_success,testing_expect_success_marker,fake_test_case_pass,fictional_config_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,19,0.0
copy_size_timing_marker,timing,c08_testing_expect_success,testing_expect_success_marker,fake_test_case_pass,fictional_config_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,19,0.0
naive_error_policy_marker,naive,c08_testing_expect_success,testing_expect_success_marker,fake_test_case_pass,fictional_config_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,19,0.0
external_error_model_truth_not_tested_marker,external,c08_testing_expect_success,testing_expect_success_marker,fake_test_case_pass,fictional_config_ok,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,19,0.0
preserve_original_case_baseline,baseline,c09_testing_expect_failure_context,testing_expect_failure_context_marker,fake_test_case_fail_ctx,fictional_config_bad,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,success,none,not_run,fail_context_not_run,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
zig_compiler_discovery_checker,compiler_discovery,c09_testing_expect_failure_context,testing_expect_failure_context_marker,fake_test_case_fail_ctx,fictional_config_bad,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,success,none,not_run,fail_context_not_run,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
zig_harness_compile_checker,harness_compile,c09_testing_expect_failure_context,testing_expect_failure_context_marker,fake_test_case_fail_ctx,fictional_config_bad,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,success,none,not_run,fail_context_not_run,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
error_union_observer,error_union,c09_testing_expect_failure_context,testing_expect_failure_context_marker,fake_test_case_fail_ctx,fictional_config_bad,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,success,none,not_run,fail_context_not_run,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
testing_debug_context_marker,testing,c09_testing_expect_failure_context,testing_expect_failure_context_marker,fake_test_case_fail_ctx,fictional_config_bad,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,success,none,not_run,fail_context_not_run,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
wrapper_policy_marker,wrapper,c09_testing_expect_failure_context,testing_expect_failure_context_marker,fake_test_case_fail_ctx,fictional_config_bad,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,success,none,not_run,fail_context_not_run,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
copy_size_timing_marker,timing,c09_testing_expect_failure_context,testing_expect_failure_context_marker,fake_test_case_fail_ctx,fictional_config_bad,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,success,none,not_run,fail_context_not_run,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
naive_error_policy_marker,naive,c09_testing_expect_failure_context,testing_expect_failure_context_marker,fake_test_case_fail_ctx,fictional_config_bad,ToyError,ToyError,False,True,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,success,none,not_run,fail_context_not_run,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
external_error_model_truth_not_tested_marker,external,c09_testing_expect_failure_context,testing_expect_failure_context_marker,fake_test_case_fail_ctx,fictional_config_bad,ToyError,ToyError,False,False,False,False,0,0,0,0,False,False,False,False,True,True,True,True,error,error,success,none,not_run,fail_context_not_run,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
preserve_original_case_baseline,baseline,c10_debug_print_context,debug_print_context_marker,fake_debug_print,sample_context_debug,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
zig_compiler_discovery_checker,compiler_discovery,c10_debug_print_context,debug_print_context_marker,fake_debug_print,sample_context_debug,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
zig_harness_compile_checker,harness_compile,c10_debug_print_context,debug_print_context_marker,fake_debug_print,sample_context_debug,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
error_union_observer,error_union,c10_debug_print_context,debug_print_context_marker,fake_debug_print,sample_context_debug,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
testing_debug_context_marker,testing,c10_debug_print_context,debug_print_context_marker,fake_debug_print,sample_context_debug,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
wrapper_policy_marker,wrapper,c10_debug_print_context,debug_print_context_marker,fake_debug_print,sample_context_debug,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
copy_size_timing_marker,timing,c10_debug_print_context,debug_print_context_marker,fake_debug_print,sample_context_debug,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
naive_error_policy_marker,naive,c10_debug_print_context,debug_print_context_marker,fake_debug_print,sample_context_debug,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
external_error_model_truth_not_tested_marker,external,c10_debug_print_context,debug_print_context_marker,fake_debug_print,sample_context_debug,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,pass,not_tested,True,True,True,True,True,False,False,local_only,False,False,True,,20,0.0
preserve_original_case_baseline,baseline,c11_breakpoint_context_not_run,breakpoint_context_not_run,synthetic_debugger_flag,toy_diagnostic_breakpoint,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,not_run,not_tested,True,True,True,True,True,False,True,local_only,False,False,True,,25,0.0
zig_compiler_discovery_checker,compiler_discovery,c11_breakpoint_context_not_run,breakpoint_context_not_run,synthetic_debugger_flag,toy_diagnostic_breakpoint,None,None,True,True,False,False,0,0,0,0,False,False,False,False,True,True,False,False,success,success,success,none,not_run,not_run,not_tested,True,True,True,True,True,False,True,local_only,False,False,True,,25,0.0
